0,1
"{'RiseTime': 53.548490534745255, 'SettlingTime': 3105.8124510152247, 'SettlingMin': 0.25908023968738714, 'SettlingMax': 1.6724152068060825, 'Overshoot': 83.96567274866905, 'Undershoot': 0, 'Peak': 1.6724152068060825, 'PeakTime': 139.22607539033766, 'SteadyStateValue': 0.9090909090909092}","
         0.1
----------------------
200 s^2 + 0.5 s + 0.11
"
"{'RiseTime': 46.42787810034251, 'SettlingTime': 18803.290630638716, 'SettlingMin': 0.2682561723992528, 'SettlingMax': 1.635157280149642, 'Overshoot': 63.51572801496419, 'Undershoot': 0, 'Peak': 1.635157280149642, 'PeakTime': 139.28363430102752, 'SteadyStateValue': 1.0}","
          0.083 s + 8.3e-06
-------------------------------------
200 s^3 + 0.5 s^2 + 0.093 s + 8.3e-06
"
"{'RiseTime': 57.98256911406552, 'SettlingTime': 9312.000599718924, 'SettlingMin': 0.2612272203187604, 'SettlingMax': 1.6473884056503256, 'Overshoot': 64.73884056503256, 'Undershoot': 0, 'Peak': 1.6473884056503256, 'PeakTime': 150.75467969657035, 'SteadyStateValue': 1.0}","
          0.084 s + 1.68e-05
--------------------------------------
200 s^3 + 0.5 s^2 + 0.094 s + 1.68e-05
"
