0,1
"{'RiseTime': 102.33711524417981, 'SettlingTime': 3131.515726471903, 'SettlingMin': 0.31719311717575277, 'SettlingMax': 1.1472150941157262, 'Overshoot': 72.08226411735892, 'Undershoot': 0, 'Peak': 1.1472150941157262, 'PeakTime': 266.07649963486756, 'SteadyStateValue': 0.6666666666666667}","
         0.02
----------------------
200 s^2 + 0.5 s + 0.03
"
"{'RiseTime': 104.62491334942047, 'SettlingTime': 2950.422556453657, 'SettlingMin': 0.32539263011926256, 'SettlingMax': 1.1102551004388956, 'Overshoot': 70.3340089989588, 'Undershoot': 0, 'Peak': 1.1102551004388956, 'PeakTime': 272.02477470849317, 'SteadyStateValue': 0.6518105849582172}","
     0.024 s + 0.01872
---------------------------
200 s^2 + 0.524 s + 0.02872
"
"{'RiseTime': 98.55901949680239, 'SettlingTime': 2996.1941927027924, 'SettlingMin': 0.33106925267541787, 'SettlingMax': 1.1887630114008922, 'Overshoot': 71.71021275790666, 'Undershoot': 0, 'Peak': 1.1887630114008922, 'PeakTime': 256.25345069168617, 'SteadyStateValue': 0.6923076923076923}","
     0.025 s + 0.0225
--------------------------
200 s^2 + 0.525 s + 0.0325
"
